country,type,paid,needs_registration,governmental,agency,url,notes
Peru,Intellectual Property,f,f,t,"Presidency of the Council of Ministers (PCM),  National Institute for the Defense of Competition and Intellectual Property Protection (INDECOPI)",http://www.indecopi.gob.pe/0/home.aspx?PFL=0&ARE=0,
Peru,Business Registry,f,f,f,Bolsa de Valores de Lima,http://www.bvl.com.pe/,
Peru,Business Registry,f,f,f,Superintendencia de Aduanas y Administración Tributaria,http://www.sunat.gob.pe/cl-ti-itmrconsruc/jcrS00Alias,"Habilitada búsqueda por RUC, nombre o razón social. Exige ingreso de código para acceder a resultados."
Peru,Business Registry,f,f,t,Superintendencia Nacional de Aduanas y Administración Tributaria,http://www.sunat.gob.pe/#,
Peru,Gazette,f,f,t,Gaceta Jurídica,http://www.gacetajuridica.com.pe/servicios/normasdeldia.php,
Peru,Business Registry,f,f,f,Superintendencia Nacional de los Registros Públicos,http://www.sunarp.gob.pe/RelacionS_01.asp,Directorio Nacional de Personas Jurídicas. Habilitada la búsqueda por sigla o razón/denominación.
Peru,Business Registry,f,f,t,Superintendencia del Mercado de Valores,http://www.smv.gob.pe/Frm_BuscarEmpresa.aspx?data=8F47CCC9B0375C76C2D17E3A64A97DDD22,Habilitada la búsqueda de empresas online.
Peru,Business Registry,f,f,f,Registro Nacional de Proveedores,http://www.osce.gob.pe/consultasenlinea/rnp_consulta/ProveedoresInscritos.asp,"Listado de proveedores. Habilitada la búsqueda por RUC, tipo de persona y capítulo."
Peru,Business Registry,f,f,t,National Superindendency of Public Registries,http://www.sunarp.gob.pe/RelacionS_01.asp,Available: search by name and basic company information
Uruguay,Intellectual Property,f,f,t,"National Directorate of Industrial Property  Ministry of Industry, Energy and Mining","http://www.miem.gub.uy/gxpsites/hgxpp001?5,9,127,O,S,0,MNU;E;30;7;MNU;,",Website down.
Uruguay,Land Registry,f,f,t,Dirección General Impositiva,"http://www.dgi.gub.uy/wdgi/page?2,principal,DireccionGeneralImpositiva,O,es,0",Regulatory Agency.
Uruguay,Business Registry,f,f,f,Bolsa de Valores de Montevideo,http://www.bvm.com.uy/frontend50/page.aspx,
Uruguay,Business Registry,f,f,f,Bolsa Electrónica de Valores del Uruguay,https://web.bevsa.com.uy/BEVSAIntranet2008/inicio/default.aspx,
